Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLlmxfBQwjj2iEs0QktqEIggR5fhpOQYIc,UC3KgBKupHdMCGz8ac6X1mxg,2021-02-22 09:48:44 UTC,2021-06-17 20:40:03 UTC,Atmospheric,Some atmospheric music.,Private

Video Id,Time Added
f_4rJhIjeK8,2021-02-22 09:48:44 UTC
NGPvz9FCK2g,2021-02-22 10:10:00 UTC
woW0rXCOmzQ,2021-02-22 10:11:31 UTC
uX3x14IIYdA,2021-02-22 10:12:12 UTC
GQghP9UGm2A,2021-02-22 10:12:48 UTC
HOTgKA1CV74,2021-05-24 18:17:55 UTC
4NB3i6Bxa58,2021-05-24 18:35:23 UTC
aM_HhU_CV44,2021-05-24 18:20:59 UTC
mQ-SZRQaRqg,2021-05-24 18:24:13 UTC
eEQIukFNoUw,2021-05-24 18:23:32 UTC
P7fadWbsSb4,2021-05-24 18:23:18 UTC
HaBZqq-G0HQ,2021-03-14 20:52:17 UTC
ZD4Sb1JzfAo,2021-06-17 20:40:03 UTC

