Video Id,Time Added
LZa5KKfqHtA,2020-12-18 17:37:37 UTC
PAFThVWtKiE,2020-12-18 10:04:58 UTC
lVyoK6WgRNU,2020-09-12 22:57:32 UTC
6hUkyKBsGtQ,2021-01-06 23:41:46 UTC
HLrqNhgdiC0,2020-09-27 22:53:31 UTC
ABQjT6gDKu0,2020-09-27 22:43:59 UTC
3h-JYx76QNM,2020-10-30 21:58:40 UTC
Bf9AgX4Ixs4,2020-09-23 20:23:42 UTC
v4pi1LxuDHc,2020-12-24 23:20:07 UTC
4rcg1ubkAeo,2020-09-27 22:49:18 UTC
5-cGdco7VFg,2020-09-12 22:59:37 UTC
5GIBRelGHpc,2021-02-12 12:48:19 UTC
vF2fEk62ur4,2020-11-10 21:21:10 UTC
zY-M1WMkPHQ,2021-05-25 06:55:35 UTC
s-6to-XBDWU,2020-12-26 21:36:18 UTC
yRf6Al4XDMY,2021-05-25 06:47:01 UTC
y3utep6axBw,2021-05-17 23:00:16 UTC
yXR2032aGIM,2021-05-17 23:00:29 UTC
1Xxo2Ad_9cY,2021-05-18 22:36:17 UTC
ls0YBGnwBZw,2021-05-22 17:37:45 UTC
iIluBvQ77Bk,2021-05-25 09:08:36 UTC
1zRkbWpJ988,2021-06-04 08:44:45 UTC
fQas0UgdXLg,2021-06-03 23:22:53 UTC
1LQRxvSdrX4,2021-06-04 22:18:00 UTC
MhY7mVCIU6Q,2021-06-13 18:30:38 UTC
OexeAtxr24E,2021-06-17 21:08:54 UTC
cI2PIcKEldI,2021-06-20 21:58:45 UTC

